Year,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep
1920,0.007467145,0.011574074,0.014934289,1.142473118,5.391674861,23.30122461,13.00540123,2.759109916,1.188271605,0.224014337,0.04853644,0.054012346
1921,0.052270012,2.93595679,4.689366786,1.986260454,2.290232711,2.859916368,1.234567901,0.369623656,0.054012346,0.843787336,0.052270012,0.050154321
1922,0.04853644,0.050154321,0.04853644,56.83617085,150.9709931,67.46191756,10.15046296,3.184737157,1.581790123,2.105734767,0.059737157,0.05787037
1923,0.056003584,0.054012346,1.575567503,1.019265233,0.274500164,18.18996416,13.63811728,3.102598566,1.331018519,1.818249701,0.044802867,0.042438272
1924,0.041069295,1.19212963,3.610364397,23.40203106,28.99459194,158.3146655,101.3194444,9.763291517,4.170524691,3.759707288,0.063470729,0.06558642
1925,0.063470729,0.06558642,0.097072879,2.423088411,4.4575549,4.558691756,2.334104938,0.89979092,0.177469136,2.385752688,0.063470729,0.06558642
1926,0.063470729,0.061728395,0.059737157,1.590501792,0.8726647,0.063470729,0.05787037,0.052270012,0.054012346,0.04853644,0.044802867,0.046296296
1927,0.541367981,0.038580247,0.037335723,8.18025687,5.281055392,0.653375149,0.432098765,0.052270012,0.030864198,0.029868578,0.029868578,0.027006173
1928,0.026135006,0.027006173,0.026135006,2.154271207,5.276958374,8.127986858,5.536265432,1.635304659,0.625,0.026135006,0.026135006,0.027006173
1929,0.026135006,0.027006173,2.564964158,2.445489845,2.036217634,9.740890084,8.348765432,2.471624851,0.833333333,0.029868578,0.029868578,0.030864198
1930,0.033602151,0.034722222,26.65770609,22.2520908,5.244182235,5.077658303,5.540123457,2.049731183,0.837191358,1.052867384,0.04853644,0.050154321
1931,0.04853644,0.050154321,0.04853644,0.914725209,0.663716814,0.713112306,0.25462963,0.369623656,0.050154321,0.04853644,0.044802867,0.046296296
1932,0.044802867,0.046296296,0.041069295,13.70594385,9.505080302,0.869922342,0.046296296,0.041069295,0.042438272,0.041069295,0.037335723,0.038580247
1933,0.037335723,3.167438272,3.457287933,16.32317802,11.77073091,4.502688172,4.915123457,1.989994026,0.794753086,0.037335723,0.037335723,0.038580247
1934,0.037335723,0.108024691,3.065262843,2.635902031,1.479023271,0.21281362,0.038580247,0.037335723,0.038580247,0.037335723,0.033602151,0.034722222
1935,0.033602151,0.034722222,0.033602151,0.029868578,4.400196657,5.178464755,2.202932099,1.444892473,0.358796296,0.029868578,0.029868578,0.030864198
1936,0.029868578,0.030864198,2.004928315,6.481481481,110.131924,61.55913978,4.915123457,1.915322581,0.929783951,1.732377539,0.044802867,0.046296296
1937,0.044802867,0.046296296,1.355286738,3.531959379,1.704359226,0.518966547,9.826388889,4.872311828,1.759259259,0.044802867,0.044802867,0.046296296
1938,0.798984468,0.046296296,39.68040621,32.72102748,114.1715831,66.37544803,9.726080247,4.334677419,2.893518519,4.610961768,0.067204301,0.06558642
1939,0.160543608,7.179783951,12.1901135,5.032855436,4.514913143,9.419802867,7.885802469,3.490890084,3.769290123,2.900985663,0.063470729,0.06558642
1940,0.063470729,0.24691358,3.68130227,2.105734767,1.573254671,0.515232975,2.05632716,0.160543608,0.061728395,0.078405018,0.056003584,0.05787037
1941,0.052270012,0.054012346,15.46072282,9.55421147,0.176171747,20.78479689,10.92592593,1.62037037,0.706018519,0.059737157,0.056003584,0.05787037
1942,0.056003584,0.054012346,1.885454002,0.836320191,0.278597181,2.187873357,8.93904321,6.03718638,1.030092593,1.269414576,0.052270012,0.054012346
1943,0.052270012,0.054012346,0.052270012,1.000597372,15.74893478,12.71654719,2.932098765,0.98192951,1.064814815,0.04853644,0.04853644,0.046296296
1944,0.044802867,0.046296296,0.041069295,1.168608124,2.691740413,2.587365591,1.292438272,0.433094385,0.038580247,0.033602151,0.033602151,0.034722222
1945,0.029868578,0.030864198,0.029868578,26.21341099,36.72976073,8.725358423,3.680555556,1.344086022,0.570987654,1.284348865,0.033602151,0.030864198
1946,0.029868578,0.030864198,0.029868578,0.029868578,1.958374304,1.66890681,0.883487654,0.205346476,0.030864198,0.029868578,0.029868578,0.027006173
1947,0.026135006,0.027006173,2.598566308,2.740442055,1.749426418,84.2405914,58.86574074,3.341547192,1.49691358,1.926523297,0.037335723,0.038580247
1948,0.037335723,0.038580247,0.037335723,6.742831541,5.305637496,2.049731183,1.018518519,0.489097969,0.162037037,0.037335723,0.037335723,0.038580247
1949,0.037335723,0.038580247,0.477897252,1.056600956,2.753195674,3.024193548,3.433641975,2.635902031,0.75617284,0.037335723,0.033602151,0.034722222
1950,0.033602151,0.034722222,4.316009558,3.46848865,0.106522452,0.746714456,0.976080247,2.583632019,0.347222222,0.026135006,0.026135006,0.027006173
1951,0.026135006,0.027006173,0.026135006,0.336021505,0.024582104,0.026135006,0.023148148,0.022401434,0.023148148,0.022401434,0.022401434,0.023148148
1952,0.022401434,0.023148148,3.151135006,12.52613501,47.17715503,33.28853047,8.645833333,3.685035842,1.905864198,2.352150538,0.033602151,0.034722222
1953,0.033602151,0.034722222,1.142473118,6.040919952,12.49180597,5.902777778,4.699074074,1.907855436,0.597993827,0.037335723,0.037335723,0.038580247
1954,0.041069295,0.038580247,2.583632019,18.45504779,73.5619469,43.59318996,12.04861111,4.786439665,3.198302469,2.938321386,0.041069295,0.042438272
1955,0.041069295,0.038580247,4.640830346,6.406810036,103.8348083,67.35364397,9.6875,3.625298686,2.411265432,2.508960573,0.04853644,0.050154321
1956,0.04853644,0.050154321,0.067204301,0.742980884,3.679121599,3.670101553,4.695216049,2.452956989,1.608796296,2.822580645,0.04853644,0.050154321
1957,0.313620072,0.046296296,0.085872162,222.1438172,141.3757784,4.334677419,3.236882716,1.075268817,0.578703704,1.40755675,0.067204301,0.069444444
1958,0.063470729,0.06558642,3.293010753,8.221326165,11.79941003,4.775238949,1.820987654,0.440561529,0.061728395,1.191009558,0.056003584,0.05787037
1959,0.056003584,0.06558642,2.624701314,0.985663082,11.5085218,6.75776583,3.240740741,1.116338112,0.81404321,1.426224612,0.04853644,0.046296296
1960,0.044802867,0.050154321,13.57526882,10.90576464,16.07259915,14.09050179,11.73611111,5.305406213,3.043981481,2.721774194,0.044802867,0.046296296
1961,0.044802867,0.046296296,0.160543608,0.955794504,0.221238938,0.044802867,0.046296296,0.044802867,0.046296296,0.044802867,0.044802867,0.046296296
1962,0.044802867,0.347222222,3.181003584,1.747311828,0.07784333,0.041069295,0.042438272,0.041069295,0.038580247,0.037335723,0.037335723,0.034722222
1963,0.033602151,0.034722222,0.033602151,0.317353644,0.032776139,0.029868578,0.030864198,0.026135006,0.027006173,0.026135006,0.026135006,0.023148148
1964,0.022401434,0.023148148,10.02464158,10.35692951,3.777450016,0.608572282,0.023148148,0.022401434,0.023148148,0.022401434,0.022401434,0.023148148
1965,0.022401434,0.023148148,0.022401434,2.456690562,4.92461488,1.441158901,0.023148148,0.022401434,0.023148148,0.022401434,0.022401434,0.023148148
1966,0.022401434,0.023148148,0.406959379,2.680704898,11.35283514,6.925776583,6.265432099,4.084528076,0.555555556,0.029868578,0.029868578,0.030864198
1967,0.029868578,0.030864198,0.029868578,0.029868578,0.032776139,0.029868578,0.030864198,0.097072879,0.030864198,0.029868578,0.029868578,0.030864198
1968,0.029868578,0.030864198,7.175925926,6.212664277,1.446247132,27.97939068,15.40123457,1.418757467,0.293209877,0.044802867,0.044802867,0.046296296
1969,0.757915173,0.042438272,1.157407407,0.522700119,0.38921665,0.041069295,0.042438272,0.041069295,0.042438272,0.041069295,0.041069295,0.042438272
1970,0.037335723,0.038580247,0.037335723,4.790173238,3.281710914,0.280017921,1.107253086,0.601105137,0.034722222,0.033602151,0.029868578,0.030864198
1971,0.029868578,0.027006173,1.041666667,32.01911589,39.54850869,62.68667861,26.86728395,5.044056153,2.615740741,2.572431302,0.037335723,0.038580247
1972,0.037335723,0.038580247,0.037335723,0.21281362,0.040970174,0.041069295,0.489969136,0.093339307,0.042438272,0.041069295,0.041069295,0.223765432
1973,1.022998805,0.520833333,5.731033453,31.70176225,78.62176336,37.94056153,8.634259259,3.991188769,2.256944444,2.904719235,0.04853644,0.050154321
1974,0.04853644,0.455246914,2.270011947,8.183990442,36.60685021,18.1712963,5.316358025,2.893518519,1.797839506,2.184139785,0.059737157,0.061728395
1975,0.059737157,0.061728395,6.686827957,45.63172043,39.97869551,42.65606332,22.21450617,7.190860215,4.174382716,3.524492234,0.070937873,0.073302469
1976,0.067204301,0.069444444,0.619772999,15.22550777,40.37200918,41.49118877,17.91666667,4.248805257,2.37654321,2.505227001,0.070937873,0.073302469
1977,0.070937873,0.073302469,2.288679809,52.7068399,50.26220911,23.56630824,9.548611111,3.035394265,1.570216049,2.299880526,0.070937873,0.073302469
1978,0.070937873,0.069444444,0.884856631,1.698775388,1.319239594,0.925925926,0.24691358,0.268817204,0.06558642,0.791517324,0.063470729,0.061728395
1979,0.059737157,0.061728395,1.579301075,3.606630824,68.9159292,35.24492234,3.695987654,1.467293907,0.644290123,1.575567503,0.063470729,0.061728395
1980,0.059737157,2.978395062,5.230734767,84.31526284,88.57751557,29.68189964,8.557098765,3.770908005,2.067901235,2.464157706,0.074671446,0.077160494
1981,0.074671446,0.408950617,1.03046595,1.250746714,0.368731563,0.074671446,0.073302469,0.246415771,0.069444444,0.067204301,0.067204301,0.06558642
1982,0.063470729,0.061728395,0.059737157,0.13067503,0.061455261,0.052270012,0.050154321,0.044802867,0.046296296,0.041069295,0.037335723,0.038580247
1983,0.033602151,0.030864198,0.029868578,0.029868578,0.028679122,0.593637993,0.339506173,0.022401434,0.023148148,0.134408602,0.022401434,0.019290123
1984,0.134408602,1.199845679,0.672043011,8.986708483,11.51261881,4.457885305,0.790895062,0.85125448,0.401234568,0.029868578,0.033602151,0.034722222
1985,0.033602151,0.034722222,0.037335723,0.238948626,0.430186824,0.037335723,3.792438272,3.020459976,0.509259259,0.041069295,0.041069295,0.042438272
1986,0.041069295,0.042438272,1.187275986,0.757915173,2.605703048,1.609169654,0.243055556,0.037335723,0.034722222,0.033602151,0.033602151,0.034722222
1987,0.029868578,0.030864198,6.522550777,4.622162485,23.31202884,22.01314217,13.42592593,2.766577061,2.901234568,2.482825568,0.037335723,0.038580247
1988,0.892323775,0.038580247,0.052270012,0.280017921,2.040314651,1.060334528,0.038580247,0.037335723,0.038580247,0.037335723,0.037335723,0.038580247
1989,0.037335723,2.897376543,4.487753883,3.856780167,3.203867584,2.120669056,2.241512346,1.034199522,0.038580247,0.037335723,0.037335723,0.038580247
1990,0.033602151,0.034722222,1.362753883,6.567353644,6.690429367,16.35304659,8.221450617,1.653972521,1.037808642,0.037335723,0.037335723,0.038580247
1991,0.037335723,0.038580247,0.037335723,0.037335723,0.040970174,0.033602151,0.034722222,0.033602151,0.030864198,0.029868578,0.029868578,0.030864198
1992,0.026135006,0.027006173,5.589157706,2.983124253,0.032776139,0.354689367,0.027006173,0.026135006,0.023148148,0.022401434,0.022401434,0.023148148
1993,0.018667861,0.019290123,1.11260454,1.261947431,0.54490331,0.018667861,0.019290123,0.018667861,0.019290123,0.018667861,0.018667861,0.019290123
1994,0.018667861,0.019290123,0.018667861,0.041069295,1.548672566,1.187275986,0.906635802,0.406959379,0.019290123,0.018667861,0.018667861,0.019290123
1995,0.018667861,0.023148148,2.550029869,16.38291517,129.47804,90.08736559,6.450617284,6.111857826,4.020061728,5.144862605,0.918458781,0.050154321
1996,0.04853644,0.050154321,1.045400239,20.64665472,22.17305801,34.81182796,18.81944444,3.438620072,1.670524691,2.217741935,0.052270012,0.054012346
1997,0.052270012,0.146604938,0.451762246,4.039725209,4.015077024,0.85125448,0.354938272,0.04853644,0.050154321,0.358422939,0.044802867,0.042438272
1998,0.041069295,0.038580247,8.792562724,28.51702509,21.04637824,18.17502987,10.43209877,3.97625448,2.326388889,3.397550777,0.033602151,0.034722222
1999,0.033602151,0.034722222,2.807646356,27.57616487,525.7620452,629.9955197,217.195216,8.852299881,6.257716049,4.573626045,0.08213859,0.084876543
2000,0.291218638,0.084876543,1.541965352,0.76911589,21.3905277,13.55660096,3.68441358,1.79958184,1.057098765,1.933990442,0.078405018,0.081018519
2001,0.078405018,9.467592593,20.13142174,8.874701314,2.413143232,1.097670251,0.648148148,0.078405018,0.077160494,0.757915173,0.070937873,0.069444444
2002,0.063470729,0.06558642,0.059737157,0.059737157,0.061455261,0.056003584,0.054012346,0.052270012,0.050154321,0.04853644,0.044802867,0.046296296
2003,0.041069295,0.042438272,0.041069295,0.037335723,7.661422484,25.03360215,13.3912037,1.885454002,0.547839506,0.037335723,0.037335723,0.038580247
2004,0.033602151,0.034722222,0.362156511,0.630973716,0.036873156,0.033602151,0.034722222,0.033602151,0.034722222,0.033602151,0.033602151,0.030864198
2005,0.029868578,0.030864198,0.029868578,35.03210872,46.73877417,32.25433094,9.513888889,2.800179211,1.385030864,1.84811828,0.041069295,0.042438272
2006,0.041069295,0.042438272,3.17353644,1.747311828,0.192559816,0.037335723,0.038580247,0.037335723,0.038580247,0.037335723,0.037335723,0.038580247
2007,0.037335723,1.500771605,7.676224612,5.90651135,3.457882661,1.560633214,0.933641975,0.041069295,0.038580247,0.037335723,0.037335723,0.038580247
2008,0.033602151,0.034722222,2.128136201,2.856182796,11.70108161,9.132317802,2.287808642,0.552568698,0.115740741,0.029868578,0.029868578,0.027006173
2009,0.026135006,0.636574074,1.743578256,2.61723417,1.798590626,1.060334528,11.05324074,5.69369773,1.292438272,0.026135006,0.026135006,0.027006173
