"Variable","param","y_1981","y_1982","y_1983","y_1984","y_1985","y_1986","y_1987","y_1988","y_1989","y_1990","y_1991","y_1992","y_1993","y_1994","y_1995","y_1996","y_1997","y_1998","y_1999","y_2000","y_2001","y_2002","y_2003","y_2004","y_2005","y_2006","y_2007","y_2008","y_2009"
"river_flow_1","both",225829999.990656,3349999.9987776,350000.000352,79999.9993152,24070000.0008672,639999.9998784,2029999.9993632,12379999.999824,749999.9996064,10329999.9992928,17590000.0000896,100000.0004832,7989999.9992352,3379999.9991904,109999.999728,43879999.991328,55300000.002048,10819999.9997856,76380000.001056,73859999.987808,2059999.999776,23769999.9994176,160000.0013088,100000.0004832,1690000.0009344,93829999.995648,4680000.0001152,15819999.99984,7650000.0008064
"river_flow_2","both",214286725.666944,892035.3972096,148672.5674112,69380.5319424,27851327.425152,1040707.9646208,6303716.8137216,56396460.169728,4935929.2036992,7750796.4592128,16185486.7246464,99115.0449408,79292.0354688,1318230.087552,3746548.6716672,313233274.368,53641061.937792,9713274.3364608,50915398.238208,1271923539.74784,51747964.61184,5837876.1068544,148672.5674112,18534513.2732928,89203.5389952,113070442.472064,465840.7068672,8365309.7334912,28307256.630912
"river_flow_3","both",79499999.995776,200000.0009664,140000.0001408,1590000.0004512,11940000.000912,100000.0004832,4310000.0012736,58959999.988128,2839999.9997952,5679999.9995904,43799999.986656,90000.0012384,950000.0005728,49999.9989024,3180000.0009024,241289999.996256,93240000.008064,2279999.999232,48680000.003808,1687379999.96448,36310000.011264,2940000.0002784,149999.9993856,67049999.99856,90000.0012384,86389999.989696,100000.0004832,4180000.0003776,24460000.0008768
"river_flow_4","both",22179999.99888,189999.999648,130000.000032,880000.000416,2050000.000704,9830000.001024,630000.001152,34800000.01056,100000.000224,5810000.000832,21309999.999264,89999.999424,70000.000416,49999.998816,2349999.998784,16720000.000128,48779999.98848,920000.001024,27040000.01184,562969999.872,9549999.99936,1679999.999616,140000.000832,34709999.9904,89999.999424,24660000.000288,100000.000224,2419999.9992,5930000.000064
"river_flow_5","both",10100000.000592,660000.0010464,119999.9989728,60000.0008256,2279999.999232,8089999.9997184,100000.0004832,7410000.0001824,100000.0004832,2769999.9997248,4430000.0002464,90000.0012384,70000.0000704,49999.9989024,1090000.0007136,16370000.0011584,9210000.0008448,130000.000896,10649999.999232,23710000.0012704,4820000.000256,210000.0002112,140000.0001408,5049999.9989568,90000.0012384,7499999.9987424,100000.0004832,109999.999728,1480000.0007232
"river_flow_6","both",5360000.00112,179999.998848,119999.999232,59999.999616,1040000.000256,1319999.999328,89999.999424,7520000.000256,100000.000224,100000.000224,2690000.000064,80000.001216,59999.999616,49999.998816,49999.998816,10419999.998976,4329999.999072,130000.000032,6030000.000288,16219999.999008,2739999.99888,200000.000448,130000.000032,1419999.999552,89999.999424,3589999.999488,100000.000224,100000.000224,300000.000672
"river_flow_7","both",6599999.9997504,179999.9997984,109999.999728,359999.9995968,79999.9993152,109999.999728,90000.0012384,6650000.0013312,100000.0004832,100000.0004832,100000.0004832,79999.9993152,60000.0008256,49999.9989024,49999.9989024,13780000.001232,5939999.998704,959999.9998176,9100000.0011168,12249999.998928,5179999.9998528,2029999.9993632,130000.000896,100000.0004832,90000.0012384,4950000.001152,100000.0004832,100000.0004832,79999.9993152
"river_flow_8","both",200000.0009664,179999.9997984,100000.0004832,60000.0008256,90000.0012384,109999.999728,90000.0012384,100000.0004832,100000.0004832,100000.0004832,100000.0004832,79999.9993152,60000.0008256,49999.9989024,49999.9989024,2459999.9990304,140000.0001408,119999.9989728,90000.0012384,219999.999456,210000.0002112,189999.9990432,119999.9989728,100000.0004832,90000.0012384,109999.999728,100000.0004832,100000.0004832,79999.9993152
"river_flow_9","both",200000.000448,170000.00064,100000.000224,49999.998816,89999.999424,110000.001024,89999.999424,100000.000224,100000.000224,100000.000224,100000.000224,80000.001216,59999.999616,49999.998816,49999.998816,130000.000032,140000.000832,110000.001024,89999.999424,219999.999456,210000.001248,179999.998848,119999.999232,100000.000224,80000.001216,110000.001024,100000.000224,100000.000224,70000.000416
"river_flow_10","both",200000.0009664,170000.0005536,90000.0012384,359999.9995968,90000.0012384,109999.999728,79999.9993152,2389999.99896,100000.0004832,90000.0012384,100000.0004832,70000.0000704,49999.9989024,49999.9989024,49999.9989024,130000.000896,140000.0001408,109999.999728,90000.0012384,780000.0000192,210000.0002112,170000.0005536,109999.999728,90000.0012384,79999.9993152,109999.999728,100000.0004832,90000.0012384,70000.0000704
"river_flow_11","both",1059999.999264,159999.99984,80000.001216,3109999.999968,89999.999424,110000.001024,80000.001216,100000.000224,7509999.999456,89999.999424,100000.000224,70000.000416,49999.998816,49999.998816,59999.999616,130000.000032,379999.999296,100000.000224,89999.999424,219999.999456,24540000.001056,170000.00064,110000.001024,89999.999424,80000.001216,110000.001024,3890000.00016,89999.999424,1649999.999808
"river_flow_12","both",2760000.00048,160000.0013088,79999.9993152,1800000.0006624,100000.0004832,3180000.0009024,17470000.0011168,140000.0001408,12020000.0002272,3650000.0002272,100000.0004832,14969999.9997504,2979999.999936,49999.9989024,6830000.0011296,2800000.0001376,1209999.9996864,23549999.9999616,7519999.9999104,4129999.9987968,53919999.988416,160000.0013088,109999.999728,969999.9990624,79999.9993152,8500000.000896,20560000.0007808,5700000.0007584,4670000.0008704
"ET0_1","both",174.380885215855,210.621859657974,237.536944280304,223.428990251518,193.300983085912,194.714906904059,193.096594822562,208.792930590399,223.72695498334,206.287499094238,212.427064129397,232.987932827994,196.931431331767,193.81450022333,206.915011445507,189.185787437061,188.395300584934,197.488444239567,183.08279043712,180.882661185828,236.090747541834,238.160694237004,247.178639824787,210.153041146834,210.694715441809,167.856983438896,218.841770127952,177.190855230139,178.836470274579
"ET0_2","both",125.168400810218,161.882084640831,197.991292666079,169.853303703127,145.309853910858,170.614748952643,165.655532249802,166.25270785532,146.734569359027,156.903613208327,166.868819491961,206.281004851241,156.267419961291,157.450925104157,165.672847649094,131.151771585627,154.157930693592,173.95070580277,135.470223265914,133.884342456209,156.771273799196,197.548546427243,186.966119535686,155.825364995442,185.707599149171,137.987707837999,193.722346838133,186.396563897356,153.742260394981
"ET0_3","both",122.741407674557,164.091409930521,160.608564092869,156.476430320725,138.330919851965,181.581276430498,150.713001485929,133.699408534412,143.073254748758,158.883987175,145.237465476836,165.948791755991,144.533424618485,161.868285293251,140.345894766963,117.247440361403,129.534625672056,181.303156947524,126.658970351676,115.692283864146,125.960540459826,172.475098876306,156.940397759679,126.614454419694,150.689088154136,118.363712009092,176.601274544985,141.074109466051,150.647419032897
"ET0_4","both",109.438242884704,104.246465480333,117.232160517758,105.052269758096,113.986835249368,111.448020255182,110.752613208151,103.271551355576,104.816428726354,106.182627561115,100.757252788466,124.558999164182,115.687265691394,120.632766116614,114.071871693056,94.6063421161788,103.86578842197,122.853593899853,117.60543034447,79.5453597956669,99.8085516808774,121.436274145897,116.251295038919,94.3396378657422,108.232820276309,98.3103782147906,112.846078381285,117.210290359499,120.318504335257
"ET0_5","both",76.3241594236393,81.2358499794809,86.7679425100697,98.3431444536247,85.0133611130615,88.2251763110303,100.402187326168,87.2267545975754,84.5169352958528,82.9251818984069,88.7222547218721,97.4380581988704,95.3175259002842,90.3172099633029,66.9919192317922,72.2295698402118,78.4332785603964,102.693580997899,88.7832201082012,63.8468225551953,86.3844185057136,93.719273960127,87.3159933908248,77.882325772223,93.514195782502,83.3681720501143,101.170660049165,88.5338525625402,90.0055714416859
"ET0_6","both",71.7043909049544,67.5608513651714,69.1662793261601,63.9220470740804,68.9863221581152,69.765611283725,68.1560357221697,78.6539930233848,62.2064687665978,77.6093930606114,65.1605904992512,75.8902164402757,68.8931863109095,74.3725004682368,64.8997302780254,61.3000754344199,95.2245891189288,83.1577960635234,74.2390685096047,54.101412733504,68.7885583680828,63.3970615924803,55.9148501511569,62.9288699434258,76.112142213819,59.6218218494834,70.4094112302092,68.2754107448268,78.1178614758893
"ET0_7","both",82.0031052464908,74.5194240444827,84.7806428642558,70.3914551912093,75.8839724899348,81.481584925943,81.4395361386801,84.2253377164807,80.6337557600959,78.0515887705582,84.9065154688853,77.8511576814953,73.1613485337167,83.9127056584928,79.6446886837145,70.9161407935272,73.8565099708801,78.8444235667856,68.3221231968665,68.1821012622154,75.6778450462827,99.1875234439762,76.9285459286958,81.5320772004864,76.906088290905,85.621289169962,82.365021516562,88.8802790129873,72.4387637500937
"ET0_8","both",120.855935314102,122.829370317072,117.948284979127,108.355265059203,111.1883902951,136.915659102738,107.003265842434,116.814065385258,118.876786476818,105.959172726368,129.724370928614,113.868351438702,106.284743237907,116.605104317372,113.337892883617,113.285407931638,126.602544909325,111.474456521796,117.092486874191,108.621097008116,128.951460177793,101.329742552667,129.805508183083,133.712854791763,131.563384010453,109.661407441848,140.841879380343,136.731921281639,120.046178644207
"ET0_9","both",160.159937164376,157.476501259071,197.118387855373,170.995543023873,148.432049060956,166.986039332893,139.287125952169,188.874541442857,173.098985112328,167.70049894303,185.274849982286,184.56255364354,183.961199018069,185.261336121266,182.659279731224,185.973891313016,157.9524890333,181.534777591163,184.866724019971,164.744400027935,178.411976182873,166.318962828734,183.406336364569,173.025377942462,190.310457813436,171.470263217488,186.127520775316,220.491369389705,172.000383590227
"ET0_10","both",198.058551490028,206.977827697005,191.64425166606,191.438743233947,188.29541222654,178.729254423911,178.110431582448,196.958464035727,227.495568250202,222.300406700702,229.875212610352,220.734489100773,190.605852455731,204.5929002068,239.372177873176,235.33703107935,190.514099317955,208.813044657361,194.278992454022,216.735222854398,215.704355216753,225.008042947836,240.488614740324,223.187116764753,246.900383043783,214.883808669178,186.13930470654,242.364565303222,206.168048306067
"ET0_11","both",266.471552650329,237.270743346132,186.983527867296,193.432653814728,208.197200193952,202.929596134664,219.352428227784,216.076970616191,194.603462900061,263.283805740684,225.102497827356,195.306656779646,203.097017492879,251.613777007431,221.227500322275,205.093270697223,246.549754903724,202.205498661974,215.851620913867,204.211356479317,178.980253323506,242.330718719656,210.879807833389,244.181427555147,218.663008378493,205.01741562214,226.766352294784,204.967450844101,201.09335717716
"ET0_12","both",224.170243661304,269.144668282101,212.035681516721,215.749947778971,200.429902144957,182.832373345493,174.640419637015,218.695460950713,202.60947637483,239.601337207802,242.381323798537,208.431279302586,213.268681768195,257.864477046239,192.052960461622,214.819517047073,231.790377378209,193.681303511183,214.825503283437,245.516427828945,177.497550035032,225.172670695326,287.114540997468,209.062661755124,209.797426445973,247.392998582864,174.420410500369,209.979569041031,214.441136095618
"prec_1","both",204.14,88.96,68.25,94.15,103.01,39.97,116.45,34.24,18.18,90.91,106.88,74.62,56.67,67.01,120.02,229.9,146.38,141.72,98,149.95,25.48,68.28,47.87,126.34,76.45,209.68,44.3,83.03,113.41
"prec_2","both",162.31,99.14,15.76,47.79,129.98,46.98,64.74,103,171.59,51.68,64.22,33.36,78.89,43.25,139.4,229.83,78.9,17.1,140.27,541.14,150.8,18.6,54.69,79.68,42.2,172.11,47.21,32.63,76.83
"prec_3","both",125.14,16.63,66.06,65.75,65.22,27.97,65.79,76.59,28.78,80.12,137.26,22.89,42.75,26.6,75.6,58.7,134.98,19.07,88.14,168.28,71.13,27.51,62.31,131.44,56.5,138.03,43.48,44.41,35.5
"prec_4","both",18.42,35.28,20.9,18.16,9.12,77.18,39.09,18.22,22.68,26.31,3.44,4.07,17.39,8.86,76.72,29.78,17.04,15.44,30.1,45.52,45.48,17.31,1.61,46.14,30.63,15.6,24.96,16.45,6.05
"prec_5","both",11.99,33.72,16.92,0.68,33.07,2.45,13.94,1.49,8.69,2.24,17.28,0.28,5.9,2.62,20.73,102.19,10.79,0.37,15.19,8.65,12.17,18.91,3.05,0.37,4.59,12.92,0.11,2.48,23.18
"prec_6","both",0.08,2.27,4.54,8.88,18.45,3.86,9.67,10,11.95,0.43,15.08,12.82,5.69,0.99,0.45,20.78,0.39,0.1,5.69,20.08,2.94,10.66,26.18,5.05,1.58,6.59,2.85,5.95,9.64
"prec_7","both",0.77,5.06,2.03,62.27,3.2,0,1.71,4.1,3.91,1.38,0.56,0.13,8.9,3.55,0.37,48.37,1.83,10.69,26.77,6.66,5.28,4.71,0.07,5.88,3.64,1.39,12.17,4.88,4.84
"prec_8","both",13.35,1.01,21.59,2.58,0.81,3.29,27.72,12.37,2.33,6.05,0,4.65,8.79,4.01,8.77,16.8,6.07,3.67,6.93,0.21,1.46,11.84,0.17,8.41,3.75,2.64,3.97,2.38,1.93
"prec_9","both",37.26,1.37,0.46,23.94,66.59,11.48,62.3,30.71,0.78,1.4,3.88,1.13,3.37,6.48,1.41,3.04,34.32,13.61,7.03,24.69,8.6,8.71,14.56,11.06,0.37,1.53,29.29,2.51,3.68
"prec_10","both",33.77,28.55,43.19,54.26,68.46,42.07,40.7,86,90.6,39.96,1.69,9.06,16.2,23.81,25.93,25.7,44.61,78.24,21.69,25.69,19.81,48.09,61.96,27.95,9.98,13.41,43.79,14.99,13.69
"prec_11","both",120.15,32.21,87.64,121.42,57.71,136.14,34.19,29.88,96.87,44.57,45.9,88.13,133.1,50.13,80.69,55.67,115.53,108.07,93.56,101.74,158.91,25.09,36.51,35.49,79.4,92.4,98.45,72.43,119.6
"prec_12","both",27.8,25.37,75.79,71.75,153.92,127.45,240.95,67.29,123.65,84.41,26.15,244.07,111.58,69.61,104.43,68.18,58.5,143.65,66.12,69.1,121.35,39.76,39.23,102.09,136.09,93.88,162.48,99.65,104.69
"eflow_1","both",2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720
"eflow_2","both",1693440,1693440,1693440,1693440,1693440,1693440,1693440,1693440,1693440,1693440,1693440,1693440,1693440,1693440,1693440,1693440,1693440,1693440,1693440,1693440,1693440,1693440,1693440,1693440,1693440,1693440,1693440,1693440,1693440
"eflow_3","both",1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880
"eflow_4","both",2073600,2073600,2073600,2073600,2073600,2073600,2073600,2073600,2073600,2073600,2073600,2073600,2073600,2073600,2073600,2073600,2073600,2073600,2073600,2073600,2073600,2073600,2073600,2073600,2073600,2073600,2073600,2073600,2073600
"eflow_5","both",2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720
"eflow_6","both",2073600,2073600,2073600,2073600,2073600,2073600,2073600,2073600,2073600,2073600,2073600,2073600,2073600,2073600,2073600,2073600,2073600,2073600,2073600,2073600,2073600,2073600,2073600,2073600,2073600,2073600,2073600,2073600,2073600
"eflow_7","both",2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720
"eflow_8","both",1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880
"eflow_9","both",1814400,1814400,1814400,1814400,1814400,1814400,1814400,1814400,1814400,1814400,1814400,1814400,1814400,1814400,1814400,1814400,1814400,1814400,1814400,1814400,1814400,1814400,1814400,1814400,1814400,1814400,1814400,1814400,1814400
"eflow_10","both",1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880,1874880
"eflow_11","both",1814400,1814400,1814400,1814400,1814400,1814400,1814400,1814400,1814400,1814400,1814400,1814400,1814400,1814400,1814400,1814400,1814400,1814400,1814400,1814400,1814400,1814400,1814400,1814400,1814400,1814400,1814400,1814400,1814400
"eflow_12","both",2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720,2142720
